0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:07 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:07 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:07 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:21 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:21 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:21 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:21 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:21 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:22 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:25 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:25 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:25 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:26 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:26 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:28 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:28 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:28 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:32 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:33 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:33 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:44:33 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
