0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:44 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:45 +0900] "GET /Hospital_Reservation/view/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:45 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:45 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:45 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:46 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:48 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:48 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:48 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:49 +0900] "POST /Hospital_Reservation/view/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:49 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:49 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:49 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:50 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 302 -
